No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
34,Styling,Use Phase Animator,Phase-based,.phaseAnimator for stages,No phase,@PhaseAnimator for steps,No phase anim,Low,
35,Styling,Use Keyframes,Keyframe anims,.keyframeAnimator for complex,No keyframes,@KeyframeAnimator for keyframes,No keyframes,Low,
36,Performance,Use redacted,Loading state,redacted modifier,.redacted(),No loading,redacted(.placeholder),No placeholder,Medium,
37,Performance,Use Task,Async tasks,Task for async,No task,Task { await load() },No task,Medium,
38,Performance,Use TaskGroup,Parallel async,TaskGroup for parallel,No group,TaskGroup for concurrent,Sequential load,Low,
39,Performance,Use Lazy Loading,On-demand,List with id,No id,List(items) { $0 },No id,Medium,
40,Forms,Use TextField,Input fields,TextField,No input,TextField("Name", text: $name),No text field,High,
41,Forms,Use SecureField,Password,SecureField,No secure,SecureField("Pass", text: $pwd),Plain text pass,Medium,
42,Forms,Use TextEditor,Multiline,TextEditor,No multiline,TextEditor(text: $text),No editor,Medium,
43,Forms,Use Picker,Selection,Picker,No picker,Picker("Option", selection: $val),No picker,Medium,
44,Forms,Use Slider,Range input,Slider,No slider,Slider(value: $val),No slider,Medium,
45,Forms,Use Toggle,Switch input,Toggle,No toggle,Toggle("Enable", isOn: $val),No toggle,Medium,
46,Forms,Use DatePicker,Date input,DatePicker,No date,DatePicker("Date", selection: $date),No picker,Medium,
47,Forms,Use Form,Form layout,Form container,No form,Form { },No form,Low,
48,Accessibility,Use accessibility,Accessibility,accessibility labels,No a11y,accessibility(label: "Submit"),No a11y,High,https://developer.apple.com/documentation/swiftui/accessibility
49,Accessibility,Use AccessibilityFocus,Focus control,AccessibilityFocus,No focus,AccessibilityFocus($focused),No focus,Medium,
50,Accessibility,Use Reduced Motion,Reduce motion,accessibilityReducedMotion,No reduce,accessibilityReducedMotion,No reduce,Medium,
51,Testing,Use ViewInspector,View testing,ViewInspector,No inspect,inspect(View),No inspect,Low,
52,Testing,Use XCTest,Unit testing,XCTest for Swift,No test,XCTTest,No tests,Medium,
53,Testing,Use Snapshot Testing,Visual tests,Snapshot testing,No snapshot,swift-snapshot-testing,No snapshot,Low,
54,Build,Use XcodeGen,Project gen,XcodeGen,Manual project,project.yml for gen,Manual Xcode,Low,https://github.com/yonaskolb/xcodegen
55,Build,Use SPM,Package manager,Swift Package Manager,CocoaPods,Package.swift dependencies,CocoaPods,Low,
